iter	MultiClass
173	0.3716329141
174	0.3708080215
175	0.3697265047
176	0.3690482706
177	0.3684867806
178	0.3680270215
179	0.3675123234
180	0.3670057271
181	0.3665767007
182	0.366309729
183	0.3656551973
184	0.3652505148
185	0.364539963
186	0.363867018
187	0.3631703448
188	0.3627366522
189	0.3622658459
190	0.361771133
191	0.3611517968
192	0.360351064
193	0.3595498401
194	0.3591636497
195	0.3588257751
196	0.3581983909
197	0.3576692171
198	0.3570123404
199	0.3565279803
200	0.3558693747
201	0.3550793221
202	0.3542992185
203	0.3538389429
204	0.3535286531
205	0.3530950749
206	0.3524406392
207	0.3521042388
208	0.3516585475
209	0.3513152624
210	0.3507579018
211	0.3497640361
212	0.3492410878
213	0.3488793421
214	0.34845422
215	0.3479690808
216	0.3473540297
217	0.3471438892
218	0.3466997083
219	0.3461470733
220	0.3456363824
221	0.3450938152
222	0.3444264907
223	0.3437285355
224	0.3431868496
225	0.3428399785
226	0.3425071552
227	0.3423117476
228	0.3417707844
229	0.341300746
230	0.3409951095
231	0.3407490706
232	0.3403363237
233	0.3400885459
234	0.3396691217
235	0.3394220155
236	0.3392177566
237	0.3383821207
238	0.3376828973
239	0.3373954314
240	0.3370184674
241	0.336514113
242	0.3363000031
243	0.3358564315
244	0.3352687315
245	0.3350493903
246	0.3346708936
247	0.3342292534
248	0.3340243795
249	0.3335420499
250	0.3331748545
251	0.3328450995
252	0.3322305867
253	0.3318344802
254	0.3311857894
255	0.3305698636
256	0.3302119057
257	0.3297194154
258	0.3293465805
259	0.3291542038
260	0.3284708504
261	0.3278969127
262	0.3272673849
263	0.3269908077
264	0.3265799479
265	0.3264270972
266	0.3260066594
267	0.3255399988
268	0.3251846058
269	0.3247049147
270	0.3241532775
271	0.3238282231
272	0.3232154728
273	0.3225500948
274	0.3221706761
275	0.321787066
276	0.3215228923
277	0.3213615889
278	0.320826388
279	0.3206744415
280	0.3202230567
281	0.3198577121
282	0.3193978689
283	0.3190056362
284	0.3187645105
285	0.3184816689
286	0.3182440218
287	0.3178843356
288	0.3174307435
289	0.3171368513
290	0.3167717035
291	0.3164900422
292	0.3159755572
293	0.3153834795
294	0.3148907184
295	0.3144292311
296	0.3141366369
297	0.3137714721
298	0.3136620293
299	0.3132117569
300	0.312865569
301	0.3124252581
302	0.3119824822
303	0.3117720641
304	0.3115801133
305	0.3113220228
306	0.3109877305
307	0.3108324605
308	0.310625591
309	0.310232584
310	0.3098335842
311	0.3096159045
312	0.3092049129
313	0.3087295217
314	0.3080919514
315	0.3078728502
316	0.3074416915
317	0.3072245791
318	0.3068364479
319	0.3064455552
320	0.3062833042
321	0.3060502091
322	0.3056432357
323	0.305494839
324	0.3051308799
325	0.3048021968
326	0.3043741862
327	0.3042061455
328	0.3037310401
329	0.3034558865
330	0.3030042023
331	0.3026043289
332	0.3024021055
333	0.3021369294
334	0.301678602
335	0.3014558747
336	0.3011632771
337	0.3008895169
338	0.3006476357
339	0.300408856
340	0.3001941353
341	0.3000823312
342	0.2997306755
343	0.2994088774
344	0.2987719054
345	0.2984162328
346	0.2980655144
347	0.2976578825
348	0.2971913273
349	0.296891975
350	0.2963732959
351	0.2958184452
352	0.2953776219
353	0.295272958
354	0.2947699105
355	0.2944809151
356	0.2942549776
357	0.2939468186
358	0.293602477
359	0.2934186813
360	0.2931499747
361	0.2929025075
362	0.292591166
363	0.2923439869
364	0.2917500774
365	0.2916239697
366	0.2914925311
367	0.2912469937
368	0.2909363899
369	0.2905145458
370	0.2902597629
371	0.289967894
372	0.2895870185
373	0.2891299322
374	0.2886759759
375	0.2884228901
376	0.2881816382
377	0.2877280281
378	0.2874778772
379	0.287109493
380	0.286701158
381	0.2864480498
382	0.2861251521
383	0.285864496
384	0.2855029201
385	0.2852449082
386	0.2848654143
387	0.2845807107
388	0.2842346091
389	0.2840122888
390	0.2835476251
391	0.2830502683
392	0.2828734361
393	0.2825506999
394	0.2823025376
395	0.282027271
396	0.2817052518
397	0.2815369429
398	0.2813648608
399	0.2811651067
400	0.2807550392
401	0.2804009936
402	0.2802195116
403	0.2801063352
404	0.2798163899
405	0.2796304781
406	0.2794630642
407	0.2793256325
408	0.2789459842
409	0.2786708942
410	0.2783579452
411	0.2779616592
412	0.2778290705
413	0.2776815011
414	0.2773316787
415	0.2769797913
416	0.2767257853
417	0.2765630534
418	0.2763971056
419	0.2761062009
420	0.2758119271
421	0.2754557679
422	0.275028
423	0.2747851908
424	0.2744754682
425	0.2742522451
426	0.273988746
427	0.2735583816
428	0.2733716506
429	0.2731381664
430	0.2728998162
431	0.2726050406
432	0.2722016756
433	0.2718623397
434	0.2716618002
435	0.2715505398
436	0.2712574567
437	0.2708649721
438	0.2707280789
439	0.2704417804
440	0.2701946956
441	0.269807292
442	0.269639572
443	0.2693556637
444	0.2689257152
445	0.2687328355
446	0.2685568819
447	0.2682240357
448	0.2679677197
449	0.2674310949
450	0.2671159415
451	0.2669200018
452	0.2667299398
453	0.2664832076
454	0.2663227795
455	0.2660055777
456	0.2658313472
457	0.2655771268
458	0.2653388034
459	0.2651931967
460	0.2648572117
461	0.2646500266
462	0.2644010802
463	0.2641096642
464	0.2638996571
465	0.2637542009
466	0.2633445641
467	0.2629049237
468	0.2626596973
469	0.2624063198
470	0.2619980261
471	0.2617917201
472	0.2615080005
473	0.2612565649
474	0.2611169563
475	0.2608714127
476	0.2606949794
477	0.2604765977
478	0.2603437172
479	0.2598846194
480	0.2596467564
481	0.2593410915
482	0.2590575075
483	0.2589018483
484	0.2588188231
485	0.2585456526
486	0.2582919884
487	0.2581622965
488	0.2578548182
489	0.2577069434
490	0.2575214453
491	0.2572204206
492	0.2570821261
493	0.2570485445
494	0.2566693384
495	0.2564104022
496	0.2561935412
497	0.2560264289
498	0.2558601887
499	0.255623019
500	0.2554799645
501	0.2553896742
502	0.2551904528
503	0.2551186077
504	0.2549480414
505	0.2548028165
506	0.254577877
507	0.254350398
508	0.2542029653
509	0.2540259215
510	0.2538236658
511	0.2536524866
512	0.2535030314
513	0.2532782136
514	0.2532004881
515	0.2529699429
516	0.2527243359
517	0.252557086
518	0.2523666976
519	0.2521457745
520	0.2519196094
521	0.2517099994
522	0.2513964821
523	0.2511845326
524	0.2507466072
525	0.250525275
526	0.2503697118
527	0.2501906549
528	0.2500808938
529	0.2498345731
530	0.2496979417
531	0.2494799151
532	0.249268254
533	0.2489306397
534	0.2487750411
535	0.2484792986
536	0.2482333828
537	0.2480989477
538	0.2478825163
539	0.24764966
540	0.2474388656
541	0.2472797871
542	0.2471644681
543	0.2470894521
544	0.2469579256
545	0.2468930468
546	0.2467286723
547	0.2465016203
548	0.2464235831
549	0.246362933
550	0.2462835258
551	0.246178071
552	0.2459669212
553	0.2458842385
554	0.245632854
555	0.2454416937
556	0.2452496017
557	0.2450910312
558	0.2448655961
559	0.2446697594
560	0.2445624289
561	0.2442857086
562	0.2440480514
563	0.2438417465
564	0.2436441846
565	0.2434287924
566	0.2431955687
567	0.2429482968
568	0.2428088381
569	0.242630453
570	0.2423546097
571	0.2421367162
572	0.2421017558
573	0.241817751
574	0.2417133073
575	0.2416295596
576	0.2414522535
577	0.2413300361
578	0.2411902259
579	0.2409110256
580	0.2406787897
581	0.2404885589
582	0.2403229653
583	0.2402214001
584	0.2401445025
585	0.2399375623
586	0.2397399536
587	0.2395084632
588	0.2394194102
589	0.2392288481
590	0.2391020878
591	0.2388957367
592	0.2387482157
593	0.2385920471
594	0.2383499926
595	0.238134511
596	0.2377902096
597	0.2376344687
598	0.2374451264
599	0.237304517
600	0.2371600397
601	0.2369625763
602	0.2368100942
603	0.2366222383
604	0.2363624699
605	0.2361913152
606	0.2360857105
607	0.2358835004
608	0.2357462978
609	0.2355381127
610	0.2354596553
611	0.2352256971
612	0.2351072276
613	0.2349734973
614	0.2348001707
615	0.234610937
616	0.234448093
617	0.2343248056
618	0.2341940167
619	0.2338201469
620	0.2336703609
621	0.2335049854
622	0.2333586521
623	0.2332928347
624	0.2331479592
625	0.2330551865
626	0.2328644439
627	0.2325850833
628	0.2324382154
629	0.2323595961
630	0.232198776
631	0.2320702217
632	0.2319568425
633	0.2318929886
634	0.2317130691
635	0.2316232461
636	0.2315107991
637	0.2313031985
638	0.2312360941
639	0.2310197034
640	0.2309544152
641	0.2308024289
642	0.2306805408
643	0.2304269466
644	0.2303524886
645	0.2302451683
646	0.230109846
647	0.2300222919
648	0.2298660327
649	0.2297235265
650	0.2294995049
651	0.2293014845
652	0.2291188873
653	0.2289386003
654	0.2288006201
655	0.2284830501
656	0.2283285129
657	0.228175787
658	0.2280198244
659	0.227816284
660	0.227668298
661	0.2275920771
662	0.227488387
663	0.227319993
664	0.227070429
665	0.2268705717
666	0.2265933899
667	0.2263469365
668	0.2261954658
669	0.2260583181
670	0.2258971174
671	0.2257125443
672	0.2254347667
673	0.2252909209
674	0.2251709193
675	0.2249830432
676	0.2249207824
677	0.224819928
678	0.2245767692
679	0.2243730625
680	0.2242842943
681	0.2241154075
682	0.2239533955
683	0.2238236301
684	0.2236688294
685	0.2234864646
686	0.2233211328
687	0.2231391978
688	0.2230133388
689	0.2228622218
690	0.2226983155
691	0.2226237284
692	0.2224947074
693	0.2222559587
694	0.2221174813
695	0.221927681
696	0.2217939661
697	0.2216285753
698	0.221526084
699	0.2213123996
700	0.2211327156
701	0.2210086948
702	0.2208571631
703	0.2207513191
704	0.2206327638
705	0.2204555712
706	0.2203348502
707	0.2203033068
708	0.2200218185
709	0.2198687907
710	0.2197700188
711	0.2196640134
712	0.2195150619
713	0.2194567637
714	0.2193096802
715	0.2191961444
716	0.2190278777
717	0.2188156191
718	0.2187123123
719	0.218594467
720	0.2183572624
721	0.2181913097
722	0.218048294
723	0.2179073571
724	0.2177834216
725	0.2176502955
726	0.2175154466
727	0.2174668413
728	0.2173314978
729	0.2171658905
730	0.2170615107
731	0.2169173784
732	0.2168205687
733	0.2166194978
734	0.2164164427
735	0.2163399851
736	0.2162447067
737	0.2159959845
738	0.2159417491
739	0.2158454871
740	0.215779903
741	0.2156995268
742	0.2154650782
743	0.2153066177
744	0.215103172
745	0.2149890036
746	0.2148610956
747	0.2147819804
748	0.2146977855
749	0.2145604388
750	0.2144525937
751	0.2143405624
752	0.214249344
753	0.2141880434
754	0.2140176332
755	0.2138322181
756	0.2137359553
757	0.2134658272
758	0.2133287672
759	0.213244412
760	0.2130909168
761	0.2129782032
762	0.2127747753
763	0.2126888805
764	0.2125343516
765	0.2123857597
766	0.2123150089
767	0.2121599576
768	0.2120672163
769	0.2119287669
770	0.2118192723
771	0.2117320415
772	0.2116948187
773	0.2114890339
774	0.2113407889
775	0.211205328
776	0.2111153782
777	0.2109566308
778	0.2108491636
779	0.2107071268
780	0.210529631
781	0.2104383025
782	0.2103795869
783	0.2101880935
784	0.2100446234
785	0.209942073
786	0.2097827887
787	0.2096589742
788	0.209551816
789	0.2094300018
790	0.2093040339
791	0.2091404699
792	0.2090174236
793	0.2088554874
794	0.2086815787
795	0.2085568265
796	0.2083051627
797	0.2082492951
798	0.2081310357
799	0.2080510882
800	0.2079296016
801	0.2077087953
802	0.2075875352
803	0.2073681012
804	0.2072748547
805	0.2071375702
806	0.2070030699
807	0.2069619604
808	0.2067828493
809	0.2066837528
810	0.2064703969
811	0.2062904993
812	0.2061631746
813	0.2059645389
814	0.2058116218
815	0.2056602146
816	0.2055739681
817	0.2054625002
818	0.2053775734
819	0.2052957031
820	0.2051023829
821	0.2049962801
822	0.2048377379
823	0.2047082032
824	0.2044912591
825	0.2043952825
826	0.204165142
827	0.2039838569
828	0.2039005103
829	0.2038048253
830	0.2037154252
831	0.203561353
832	0.2034830798
833	0.2033948439
834	0.2031916954
835	0.2031068579
836	0.2028969076
837	0.2027928485
838	0.2026689274
839	0.2025002888
840	0.2024271355
841	0.2022980701
842	0.2020906278
843	0.2020481184
844	0.2019239369
845	0.2018598927
846	0.2016809949
847	0.2015800387
848	0.201462236
849	0.2013257189
850	0.201236362
851	0.2010534758
852	0.2009252743
853	0.2008029293
854	0.200731617
855	0.2006026486
856	0.2005113872
857	0.2003746023
858	0.2002742825
859	0.2001817905
860	0.199983896
861	0.1998395398
862	0.1997108679
863	0.199601638
864	0.1994975332
865	0.1993179488
866	0.1992065699
867	0.1991541302
868	0.1990741056
869	0.1990108323
870	0.1989426486
871	0.1988408523
872	0.1987626929
873	0.1986669688
874	0.1985660842
875	0.1984649508
876	0.1983649036
877	0.1982786628
878	0.1982466238
879	0.1981453117
880	0.1980421589
881	0.1979613183
882	0.1979024853
883	0.1978286447
884	0.1976807004
885	0.1976258543
886	0.1975466
887	0.1973518234
888	0.1972201081
889	0.1970993723
890	0.1969901884
891	0.196827158
892	0.1967287258
893	0.1966349019
894	0.1964497247
895	0.1963462031
896	0.1962035873
897	0.1960806202
898	0.1959778041
899	0.1959177147
900	0.1958595147
901	0.1957883374
902	0.1957488933
903	0.1956267441
904	0.1956010757
905	0.1954950316
906	0.1953978467
907	0.1953103208
908	0.1951626945
909	0.1950339424
910	0.1949232183
911	0.1947503852
912	0.1946430259
913	0.19450314
914	0.1944399257
915	0.1943632642
916	0.1942602596
917	0.1941750894
918	0.1940319345
919	0.1939344033
920	0.1938168571
921	0.1937540544
922	0.1936988308
923	0.1936278122
924	0.1935893156
925	0.193518379
926	0.1934480863
927	0.1933332184
928	0.1932496875
929	0.1931251714
930	0.1930614172
931	0.1930235646
932	0.1929631147
933	0.192907375
934	0.1927981274
935	0.1927050059
936	0.1926440077
937	0.1926030441
938	0.1925576692
939	0.1924074817
940	0.1923424514
941	0.1922378715
942	0.1922068958
943	0.1921149498
944	0.1920203803
945	0.19195992
946	0.1918813703
947	0.1918092704
948	0.1916853094
949	0.1915948105
950	0.1913707997
951	0.1912007899
952	0.1910166666
953	0.1909363903
954	0.1908747873
955	0.1907619414
956	0.1906119568
957	0.1905450902
958	0.1904700835
959	0.1903673215
960	0.1902862691
961	0.1902319435
962	0.1901040312
963	0.1900429568
964	0.1899884752
965	0.1898960856
966	0.1898376099
967	0.1897914616
968	0.1896604638
969	0.1895599037
970	0.1894910877
971	0.1893856342
972	0.1893183871
973	0.1892373227
974	0.1891154507
975	0.1889818872
976	0.188873503
977	0.188765161
978	0.1886914936
979	0.1886674789
980	0.1885890733
981	0.1884991524
982	0.1884295477
983	0.1883065977
984	0.1882056698
985	0.1881401358
986	0.1880515152
987	0.1879408087
988	0.1878377477
989	0.187725017
990	0.1876082065
991	0.1875289366
992	0.1874624845
993	0.1874056471
994	0.1872394969
995	0.1871687617
996	0.1869398939
997	0.1868357466
998	0.1868104454
999	0.1867652447
