iter	Passed	Remaining
377	30951	50930
378	31031	50845
379	31109	50757
380	31185	50666
381	31268	50585
382	31355	50511
383	31437	50430
384	31511	50337
385	31594	50257
386	31665	50158
387	31742	50067
388	31817	49975
389	31899	49894
390	31971	49796
391	32042	49698
392	32119	49610
393	32195	49518
394	32277	49438
395	32354	49348
396	32430	49258
397	32510	49174
398	32598	49101
399	32674	49012
400	32748	48917
401	32822	48825
402	32903	48743
403	32986	48663
404	33063	48574
405	33146	48495
406	33226	48411
407	33316	48341
408	33394	48254
409	33467	48160
410	33547	48076
411	33626	47991
412	33712	47915
413	33785	47821
414	33862	47734
415	33944	47652
416	34025	47570
417	34100	47480
418	34182	47398
419	34265	47319
420	34341	47229
421	34421	47145
422	34495	47053
423	34569	46962
424	34644	46872
425	34722	46786
426	34810	46712
427	34884	46621
428	34965	46539
429	35043	46452
430	35115	46359
431	35193	46272
432	35266	46180
433	35345	46095
434	35421	46006
435	35506	45930
436	35586	45846
437	35668	45766
438	35748	45683
439	35826	45597
440	35902	45508
441	35980	45423
442	36059	45339
443	36150	45269
444	36224	45178
445	36300	45090
446	36379	45006
447	36455	44918
448	36535	44834
449	36607	44742
450	36687	44659
451	36766	44575
452	36853	44500
453	36930	44414
454	37015	44336
455	37089	44246
456	37170	44165
457	37248	44079
458	37326	43994
459	37406	43911
460	37485	43828
461	37565	43744
462	37646	43662
463	37723	43577
464	37799	43489
465	37877	43404
466	37948	43311
467	38024	43224
468	38099	43135
469	38182	43057
470	38257	42968
471	38338	42886
472	38416	42801
473	38499	42722
474	38574	42634
475	38652	42550
476	38737	42472
477	38815	42388
478	38894	42305
479	38967	42214
480	39045	42130
481	39123	42045
482	39192	41951
483	39270	41866
484	39347	41781
485	39422	41693
486	39500	41608
487	39580	41527
488	39653	41437
489	39734	41356
490	39812	41271
491	39889	41186
492	39980	41115
493	40071	41044
494	40151	40962
495	40228	40876
496	40303	40790
497	40387	40712
498	40466	40628
499	40540	40540
500	40617	40455
501	40697	40372
502	40773	40287
503	40849	40201
504	40930	40120
505	41009	40037
506	41084	39949
507	41163	39866
508	41243	39785
509	41319	39698
510	41394	39612
511	41473	39529
512	41547	39441
513	41623	39355
514	41702	39273
515	41781	39190
516	41857	39104
517	41939	39024
518	42016	38940
519	42095	38857
520	42169	38769
521	42241	38681
522	42318	38596
523	42397	38513
524	42469	38424
525	42551	38345
526	42625	38258
527	42700	38171
528	42789	38097
529	42868	38015
530	42954	37938
531	43031	37854
532	43106	37768
533	43178	37679
534	43255	37595
535	43328	37508
536	43406	37425
537	43485	37342
538	43555	37252
539	43628	37165
540	43703	37079
541	43782	36996
542	43862	36915
543	43945	36837
544	44024	36754
545	44110	36677
546	44187	36594
547	44265	36510
548	44338	36424
549	44417	36341
550	44498	36260
551	44584	36184
552	44656	36096
553	44738	36017
554	44819	35936
555	44899	35855
556	44970	35766
557	45045	35681
558	45123	35598
559	45201	35515
560	45277	35431
561	45351	35345
562	45427	35260
563	45499	35173
564	45572	35086
565	45647	35001
566	45719	34914
567	45795	34830
568	45872	34746
569	45948	34662
570	46029	34582
571	46109	34501
572	46189	34420
573	46265	34336
574	46340	34251
575	46417	34168
576	46492	34083
577	46575	34004
578	46656	33924
579	46742	33847
580	46820	33765
581	46902	33685
582	46977	33601
583	47063	33524
584	47149	33447
585	47227	33365
586	47305	33283
587	47382	33199
588	47463	33119
589	47536	33034
590	47608	32947
591	47684	32863
592	47766	32784
593	47840	32698
594	47912	32612
595	47988	32529
596	48066	32446
597	48143	32364
598	48221	32281
599	48300	32200
600	48377	32117
601	48453	32033
602	48534	31953
603	48608	31869
604	48684	31785
605	48756	31699
606	48840	31621
607	48914	31536
608	48990	31453
609	49064	31368
610	49142	31287
611	49217	31203
612	49290	31117
613	49366	31034
614	49443	30952
615	49521	30870
616	49603	30791
617	49688	30713
618	49771	30634
619	49851	30553
620	49926	30470
621	49999	30385
622	50079	30305
623	50164	30227
624	50246	30148
625	50333	30071
626	50407	29987
627	50480	29902
628	50556	29819
629	50641	29741
630	50721	29661
631	50801	29580
632	50878	29498
633	50962	29420
634	51038	29337
635	51118	29256
636	51195	29174
637	51267	29088
638	51345	29007
639	51420	28923
640	51493	28839
641	51571	28757
642	51653	28678
643	51729	28595
644	51811	28516
645	51888	28434
646	52016	28380
647	52099	28301
648	52178	28219
649	52258	28139
650	52338	28058
651	52427	27982
652	52523	27910
653	52605	27831
654	52682	27749
655	52755	27664
656	52829	27580
657	52905	27497
658	52986	27417
659	53070	27339
660	53144	27255
661	53221	27173
662	53299	27091
663	53371	27007
664	53442	26922
665	53514	26837
666	53589	26754
667	53668	26673
668	53747	26592
669	53825	26511
670	53896	26426
671	53976	26345
672	54047	26260
673	54124	26178
674	54209	26100
675	54285	26018
676	54371	25940
677	54448	25858
678	54525	25777
679	54602	25695
680	54678	25613
681	54755	25531
682	54833	25449
683	54909	25367
684	54986	25285
685	55059	25201
686	55139	25121
687	55214	25039
688	55298	24960
689	55372	24877
690	55450	24796
691	55536	24718
692	55612	24636
693	55690	24555
694	55766	24472
695	55845	24392
696	55919	24309
697	55992	24225
698	56073	24146
699	56152	24065
700	56228	23983
701	56302	23900
702	56381	23819
703	56457	23737
704	56532	23655
705	56613	23575
706	56696	23496
707	56781	23418
708	56854	23335
709	56933	23254
710	57009	23172
711	57095	23094
712	57172	23013
713	57252	22932
714	57329	22851
715	57407	22770
716	57483	22688
717	57562	22608
718	57635	22525
719	57713	22444
720	57788	22361
721	57863	22279
722	57942	22199
723	58015	22116
724	58091	22034
725	58169	21953
726	58244	21871
727	58326	21792
728	58400	21710
729	58474	21627
730	58558	21549
731	58640	21469
732	58719	21388
733	58798	21308
734	58875	21227
735	58954	21146
736	59030	21065
737	59107	20983
738	59191	20905
739	59273	20825
740	59349	20744
741	59431	20664
742	59508	20583
743	59584	20502
744	59655	20418
745	59729	20336
746	59805	20255
747	59884	20174
748	59973	20097
749	60052	20017
750	60125	19935
751	60203	19854
752	60280	19773
753	60366	19695
754	60438	19612
755	60517	19532
756	60597	19452
757	60672	19370
758	60746	19288
759	60822	19207
760	60897	19125
761	60974	19044
762	61051	18963
763	61134	18884
764	61206	18802
765	61279	18719
766	61358	18639
767	61439	18559
768	61523	18481
769	61599	18399
770	61672	18317
771	61755	18238
772	61837	18159
773	61916	18079
774	61994	17998
775	62069	17916
776	62143	17835
777	62221	17754
778	62299	17674
779	62375	17593
780	62450	17511
781	62533	17432
782	62619	17354
783	62700	17274
784	62778	17194
785	62853	17112
786	62929	17031
787	63011	16952
788	63085	16870
789	63159	16789
790	63237	16708
791	63322	16630
792	63396	16548
793	63476	16468
794	63556	16388
795	63639	16309
796	63706	16226
797	63782	16145
798	63860	16065
799	63938	15984
800	64031	15907
801	64106	15826
802	64183	15746
803	64252	15663
804	64331	15583
805	64406	15502
806	64479	15420
807	64558	15340
808	64634	15259
809	64717	15180
810	64792	15099
811	64867	15018
812	64940	14937
813	65013	14855
814	65093	14775
815	65169	14695
816	65251	14615
817	65328	14535
818	65407	14455
819	65487	14375
820	65561	14294
821	65639	14213
822	65716	14133
823	65798	14054
824	65874	13973
825	65953	13893
826	66029	13812
827	66099	13730
828	66172	13649
829	66246	13568
830	66323	13488
831	66397	13407
832	66469	13325
833	66546	13245
834	66628	13166
835	66710	13086
836	66786	13006
837	66863	12925
838	66941	12845
839	67020	12765
840	67105	12686
841	67179	12606
842	67252	12525
843	67331	12445
844	67407	12364
845	67487	12284
846	67565	12204
847	67640	12124
848	67715	12043
849	67792	11963
850	67871	11883
851	67942	11802
852	68021	11722
853	68094	11641
854	68173	11561
855	68251	11481
856	68330	11401
857	68411	11322
858	68498	11243
859	68583	11164
860	68657	11084
861	68741	11004
862	68826	10926
863	68905	10846
864	68985	10766
865	69057	10685
866	69128	10604
867	69202	10523
868	69276	10443
869	69353	10363
870	69440	10284
871	69517	10204
872	69591	10123
873	69666	10043
874	69745	9963
875	69822	9883
876	69907	9804
877	69987	9724
878	70069	9645
879	70139	9564
880	70220	9485
881	70297	9404
882	70374	9324
883	70454	9245
884	70529	9164
885	70609	9085
886	70689	9005
887	70763	8925
888	70843	8845
889	70920	8765
890	70994	8685
891	71068	8604
892	71144	8524
893	71218	8444
894	71287	8363
895	71365	8283
896	71441	8203
897	71520	8123
898	71600	8044
899	71676	7964
900	71755	7884
901	71842	7805
902	71919	7725
903	71993	7645
904	72074	7565
905	72146	7485
906	72224	7405
907	72300	7325
908	72375	7245
909	72446	7165
910	72519	7084
911	72591	7004
912	72669	6924
913	72747	6844
914	72826	6765
915	72900	6685
916	72979	6605
917	73062	6526
918	73138	6446
919	73216	6366
920	73291	6286
921	73382	6208
922	73462	6128
923	73540	6048
924	73618	5969
925	73696	5889
926	73777	5809
927	73855	5730
928	73929	5650
929	74001	5570
930	74082	5490
931	74165	5411
932	74240	5331
933	74316	5251
934	74393	5171
935	74468	5091
936	74545	5012
937	74628	4932
938	74704	4853
939	74776	4772
940	74850	4693
941	74930	4613
942	75014	4534
943	75099	4455
944	75170	4375
945	75249	4295
946	75326	4215
947	75397	4135
948	75470	4055
949	75550	3976
950	75628	3896
951	75703	3817
952	75781	3737
953	75860	3657
954	75937	3578
955	76016	3498
956	76091	3418
957	76172	3339
958	76250	3259
959	76323	3180
960	76399	3100
961	76481	3021
962	76561	2941
963	76648	2862
964	76722	2782
965	76803	2703
966	76879	2623
967	76957	2544
968	77037	2464
969	77113	2384
970	77198	2305
971	77273	2225
972	77348	2146
973	77426	2066
974	77504	1987
975	77580	1907
976	77662	1828
977	77737	1748
978	77817	1669
979	77904	1589
980	77989	1510
981	78067	1430
982	78146	1351
983	78222	1271
984	78299	1192
985	78384	1112
986	78467	1033
987	78543	953
988	78620	874
989	78695	794
990	78777	715
991	78853	635
992	78937	556
993	79016	476
994	79097	397
995	79185	318
996	79305	238
997	79382	159
998	79463	79
999	79543	0
